Date,VWC_15_Agurotech,VWC_30_Agurotech
2023-05-25,23.44,34.14
2023-05-26,23.57,34.79
2023-05-27,23.48,34.89
2023-05-28,23.28,34.89
2023-05-29,23.13,34.9
2023-05-30,22.91,34.92
2023-05-31,22.77,34.89
2023-06-01,22.59,34.84
2023-06-02,22.52,34.77
2023-06-03,22.24,34.66
2023-06-04,21.89,34.55
2023-06-05,21.53,34.46
2023-06-06,21.19,34.35
2023-06-07,21.45,34.26
2023-06-08,21.39,34.15
2023-06-09,20.97,34
2023-06-10,20.5,33.86
2023-06-11,19.99,33.7
2023-06-12,19.64,33.57
2023-06-13,19.07,33.32
2023-06-14,18.45,33.21
2023-06-15,18,33.07
2023-06-16,17.53,32.96
2023-06-17,17.19,32.86
2023-06-18,16.92,32.8
2023-06-19,16.77,32.75
2023-06-20,19.77,32.8
2023-06-21,27.7,34.75
2023-06-22,26.6,35.18
2023-06-23,26.51,35.11
2023-06-24,25.68,35.19
2023-06-25,25.28,35.17
2023-06-26,24.88,35.02
2023-06-27,24.14,34.92
2023-06-28,23.59,34.93
2023-06-29,23.33,34.84
2023-06-30,22.98,34.71
2023-07-01,23.11,35.1
2023-07-02,23.73,35.16
2023-07-03,23.53,35.08
2023-07-04,23.4,35.07
2023-07-05,26.12,34.87
2023-07-06,27.18,35.21
2023-07-07,26.7,35.59
2023-07-08,26.09,35.67
2023-07-09,26.09,34.85
2023-07-10,27.25,33.33
2023-07-11,26.76,34.24
2023-07-12,27.07,33
2023-07-13,26.48,33.01
2023-07-14,26.3,33.08
2023-07-15,25.94,33.48
2023-07-16,25.72,33.63
2023-07-17,25.58,33.98
2023-07-18,25.46,34.53
2023-07-19,25.19,34.93
2023-07-20,24.91,35.24
2023-07-21,24.66,35.66
2023-07-22,23.98,35.63
2023-07-23,24.47,34.34
2023-07-24,24.85,34.03
2023-07-25,24.99,34.09
2023-07-26,24.81,34.15
2023-07-27,25.18,33.63
2023-07-28,25.81,33.14
2023-07-29,25.38,33.42
2023-07-30,25.38,33.24
2023-07-31,26.35,32.39
2023-08-01,26.67,32.1
2023-08-02,28.46,31.86
2023-08-03,29.6,31.69
2023-08-04,27.12,32.09
2023-08-05,26.4,32.23
2023-08-06,26.3,32.16
2023-08-07,25.93,32.29
2023-08-08,25.49,32.59
2023-08-09,25.1,33.04
2023-08-10,24.74,33.55
2023-08-11,24.47,34.05
2023-08-12,25.44,33.02
2023-08-13,25.2,32.43
2023-08-14,24.44,32.76
2023-08-15,23.93,33.28
2023-08-16,23.56,33.88
2023-08-17,23.36,34.52
2023-08-18,23.16,35.05
2023-08-19,22.94,35.59
2023-08-20,22.73,36.15
2023-08-21,22.49,36.66
2023-08-22,22.09,36.89
2023-08-23,21.84,36.95
2023-08-24,20.97,33.17
2023-08-25,21.68,33.53
2023-08-26,23.28,34.1
2023-08-27,23.39,34.1
2023-08-28,23.75,34.09
2023-08-29,23.53,33.91
2023-08-30,23.76,34.27
2023-08-31,25.26,34.61
2023-09-01,26.29,34.68
2023-09-02,26.27,34.71
2023-09-03,25.91,34.57
2023-09-04,25.36,34.33
2023-09-05,24.72,34.02
2023-09-06,24.15,33.77
2023-09-07,23.65,33.5
2023-09-08,23.15,33.22
2023-09-09,22.74,32.97
